region,location,street_address,num_of_rooms,size,fee,final_price,initial_price
Stockholmskommun,Kungsholmen,Mitisgatan 4,3,73.5,3765,8300000,7980769
Stockholmskommun,Bromma,Fredrikslundsvägen 45,2,48.0,2938,3150000,2739130
Stockholmskommun,Gröndal,"Fågelsångsvägen 13, vån 10",2,52.0,2683,4510000,3696721
Stockholmskommun,Kungsholmen,"Lidnersgatan 12A, 4 tr",2,39.5,3071,3700000,3303571
Sollentunakommun,Tegelhagen,Skogstorpsvägen 152 1 tr,3,76.0,4611,4000000,3773584
Stockholmskommun,Hammarbyhöjden,Lidköpingsvägen 49,2,48.0,3719,3500000,2991452
Stockholmskommun,Abrahamsberg,Registervägen 18,2,45.0,2057,2600000,2300884
Stockholmskommun,Kungsholmen,"Ehrensvärdsgatan 4, 1½ tr",2,43.0,1605,4150000,3990384
Stockholmskommun,Hammarbyhöjden,Finngrundsvägen 5,2,60.5,3078,4450000,4009009
Stockholmskommun,Midsommarkransen,"Tellusborgsvägen 92, vån 3",1.5,36.0,2045,2750000,2696078
Stockholmskommun,Skärholmen,Falkholmsgränd 29,3,83.5,5928,2300000,2000000
Stockholmskommun,Hägerstenshamnen,Selmedalsringen 8,3,85.0,5030,5650000,5000000
Stockholmskommun,Kungsholmen,Essinge Brogata 39,2,31.0,2446,2900000,2396694
Stockholmskommun,Östermalm,"Kungstensgatan 3, 4 tr",4,117.0,4715,17400000,16893203
Stockholmskommun,Akalla,Sibeliusgången 50,2,45.4,2945,1650000,1650000
Stockholmskommun,Hammarbyhöjden,Johan Printz väg 10,2,37.0,2136,2800000,2393162
Stockholmskommun,Gamla Stan,Skinnarviksringen 2,1,24.0,1869,3065000,2452000
Stockholmskommun,Liljeholmskajen,"Ekfatsgatan 1, 3tr",4,105.0,5112,11300000,10761904
Solnakommun,Skytteholm,Ankdammsgatan 25,3,92.0,4380,4550000,3500000
Stockholmskommun,Östermalm,Ängskärsgatan 3,2.5,61.0,3071,6500000,6372549
Stockholmskommun,Birkastan,Tomtebogatan 17,4,112.0,3717,11000000,10185185
Stockholmskommun,Norrmalm,"Olof Palmes gata 12, Accepterat pris",2,39.0,1877,4150000,4150000
Stockholmskommun,Örnsberg,Gösta Ekmans väg 17,5,122.0,6759,8500000,7522123
Stockholmskommun,NedreGärdet,De Geersgatan 16,3,78.0,3949,11050000,11050000
Stockholmskommun,Spånga,Bärkingeplan 13,2,69.0,4355,1400000,992907
Stockholmskommun,Vasastan,Holländargatan 40,2,65.0,2762,7850000,6946902
Stockholmskommun,Midsommarkransen,Fastlagsvägen 56A,3,95.0,4921,6800000,6296296
Nackakommun,Kvarnholmen,Mjölnarvägen 6A,4,104.0,5180,10500000,10096153
Stockholmskommun,Östermalm,Artillerigatan 65,2,51.0,2823,5600000,5333333
Stockholmskommun,Östermalm,"Brahegatan 19, 4 tr",3,56.0,2106,7800000,7647058
Nackakommun,Neglinge,Sturevägen 12,4,78.0,4400,3195000,3195000
Stockholmskommun,Kungsholmen,"Wargentinsgatan 5 B, 4 tr",2,40.0,2257,4750000,3991596
Stockholmskommun,Östermalm,Skeppargatan 70,3,115.0,8896,11500000,10360360
Stockholmskommun,Liljeholmskajen,Sjöviksvägen 25,2,59.0,3088,4850000,4008264
Stockholmskommun,Spånga,Bennebolsgatan 40 (Våning 3),4,97.0,5868,3770000,3696078
