region,location,street_address,num_of_rooms,size,fee,price
Luthagen,Luthagen,"
        Hällbygatan 28B
      ",1,40.0,2164,1695000
Luthagen,Luthagen,"
        Seminariegränd 3
      ",2,62.0,3557,2495000
Gunsta,Gunsta,"
        Hjulaxelvägen 174 lgh 1104
      ",4,85.0,4600,2495000
Salabacke,Salabacke,"
        Byggmästargatan 1C
      ",1,25.5,1933,1395000
Kapellgärdet,Kapellgärdet,"
        Vattholmavägen 4 D
      ",2,67.0,3948,2395000
Höganäs,Höganäs,"
        Torkelsgatan 28B - FAST PRIS
      ",3,76.0,3367,3785000
Ekeby-Flogsta,Ekeby,"
        Flogstavägen 5 A
      ",3,74.5,6406,1950000
Fålhagen,Fålhagen,"
        Torkelsgatan 18B
      ",1,41.5,1864,1995000
LÖTEN,LÖTEN,"
        Von bahrs väg 4
      ",1,46.5,3212,1325000
UPPSALA,UPPSALA,"
        Bäverns gränd 24
      ",2,55.5,3141,2350000
LÖTEN,LÖTEN,"
        Bellmansgatan 160
      ",3,81.5,4132,2390000
Eriksberg,Eriksberg,"
        Fältspatsvägen 6
      ",1,41.0,2585,1695000
Centrum,Centrum,"
        Vaksalagatan 20
      ",3.5,88.4,3930,3495000
UPPSALA,UPPSALA,"
        Cellovägen 5C
      ",2,69.0,3909,1390000
STENHAGEN,STENHAGEN,"
        Kullerstensvägen 7B - FAST PRIS
      ",5,105.5,6767,2550000
Rosendal,Rosendal,"
        Torgny Segerstedts allé 27
      ",1,32.0,1566,1975000
Höganäs,Höganäs,"
        S:t Olofsgatan 52B
      ",2.5,67.0,3913,2175000
Rosendal,Rosendal,"
        Lydia Wahlströms Gata
      ",2,46.0,3012,1848000
Kungsängen / Industristaden,Kungsängen,"
        Mältargatan 1 FAST PRIS
      ",2,67.0,3719,2690000
LUTHAGEN,LUTHAGEN,"
        Stabby allé 7B
      ",2,55.7,2977,2200000
LÖTEN,LÖTEN,"
        Råbyvägen 57A
      ",1,42.0,2826,1595000
FÅLHAGEN,FÅLHAGEN,"
        Hjalmar Brantingsgatan 3A
      ",1,17.0,1315,1150000
