region,location,street_address,num_of_rooms,size,fee,final_price,initial_price
Uppsalakommun,Salabacke,Johannesbäcksgatan 86 A,2,42.2,2133,1795000,1795000
Uppsalakommun,Svartbäcken,Gamla Uppsalagatan 13A,3,82.7,4873,3300000,2999999
Uppsalakommun,Fålhagen,Väderkvarnsgatan 52 A,2,50.0,2461,2490000,2394230
Uppsalakommun,Årsta,Kamomillgatan 25,2,63.0,3551,2450000,1991869
Uppsalakommun,Löten,Karin Boyegatan 8E,3,84.0,4734,2400000,2181818
Uppsalakommun,Luthagen,Bredmansgatan 4 C,1.5,42.2,2183,2220000,2155339
Uppsalakommun,Löten,Bellmansgatan 80,5,113.0,5429,3300000,2598425
Uppsalakommun,Gottsunda,Henry Wemans väg 10,3,68.0,3681,2100000,2000000
Uppsalakommun,Rosendal,Torgny Segerstedts Allé 21,1,27.0,1321,1995000,1900000
Uppsalakommun,Fålhagen,Norrtäljegatan 3 B,4,100.0,5070,5700000,4488188
Uppsalakommun,Kungsängen,Viragatan 9,4,100.0,5538,4300000,3739130
Uppsalakommun,Kungsängen,Sågargatan 2 D,3,91.0,4838,5800000,5000000
Uppsalakommun,Centrum,Dragarbrunnsgatan 60,2,51.5,2221,2500000,2293577
Uppsalakommun,Storvreta,Himmelsvägen 29,4,87.0,5402,2020000,1787610
Uppsalakommun,Kungsängen,Sågargatan 4B,3,91.0,4716,5125000,4495614
Uppsalakommun,Luthagen,Bredmansgatan 9C,2,51.0,2410,2640000,2400000
Uppsalakommun,Luthagen,Tegnérgatan 17B,2.5,65.0,3163,3250000,2981651
Uppsalakommun,Fålhagen,Hjalmar Brantingsgatan 9A,1,37.0,2294,2470000,1991935
Uppsalakommun,Årsta,Fänkålsgatan 20,3,78.0,4176,2750000,2200000
Uppsalakommun,LUTHAGEN,Prästgårdsgatan 19A,4,89.0,3963,3950000,2992424
